 	X	Y
1	1277.500	12.500
2	341.500	16.500
3	858.500	22
4	949	24.500
5	412.500	27.500
6	1016.500	36.500
7	1195.500	40.500
8	894.500	43.500
9	543.500	44.500
10	1067.500	46
11	157.500	46.500
12	719.500	47.500
13	284.500	50.500
14	579.500	53.500
15	832.500	54.500
16	1327.500	59.500
17	333.500	61.500
18	945	62.500
19	1116.500	64.500
20	1266.500	67.500
21	405.500	72.500
22	261.500	73.500
23	1030.500	80.500
24	108.500	81.500
25	994.500	83.500
26	59.500	85.500
27	676.500	85.500
28	203.500	86.500
29	1218.500	86.500
30	642.500	88.500
31	1301.500	91.500
32	891	92.500
33	825.500	95.500
34	373.500	100.500
35	713.500	103.500
36	1097.500	107.500
37	322.500	108.500
38	1353.500	110.500
39	861.500	111.500
40	403.500	114.500
41	471.500	114.500
42	1185.500	117.500
43	251	122.500
44	920.500	125.500
45	592.500	126.500
46	1321.500	126.500
47	556.500	130.500
48	1239.500	130.500
49	953.500	131.500
50	87.124	132.876
51	678.500	133.500
52	1025.500	133.500
53	622.500	136.500
54	1061.500	139.500
55	178.500	140.500
56	801.500	140.500
57	717.500	148.500
58	847.500	149.500
59	296.500	150.500
60	381.500	153.500
61	1292.500	155.500
62	1196.500	159.500
63	1115.500	162.500
64	884.500	163.500
65	242.500	165.500
66	511.500	165.500
67	349.500	166.500
68	415.500	167.500
69	948.500	168.500
70	1262.500	173.500
71	591.500	175.500
72	826.500	186.500
73	1089.500	187.500
74	621.500	188.500
75	527.500	194.500
76	683.500	194.500
77	856.500	194.500
78	38.500	196
79	183.500	196.500
80	971.500	201.500
81	739.500	203.500
82	1330.500	204.500
83	67.500	205.500
84	1214.500	206.500
85	229.500	208.500
86	1007.500	209.500
87	886.500	210.500
88	553.500	211.500
89	1039.500	211.500
90	587.500	215.500
91	123.500	216.500
92	284.500	217.500
93	343.500	220.500
94	1277.500	220.500
95	710.500	221.500
96	1079.500	221.500
97	652.500	227.500
98	245.500	228.500
99	449.500	231.500
100	682.500	234.500
101	399.500	235.500
102	940.500	235.500
103	810.500	237.500
104	856.500	237.500
105	171.500	238.500
106	1136.500	238.500
107	79.500	244.500
108	311	244.500
109	891.500	250.500
110	23.500	252.500
111	979.500	252.500
112	514.500	256.500
113	1326.500	256.500
114	99.500	258.500
115	341	258.500
116	1052.500	262.500
117	1231.500	262.500
118	741.500	265.500
119	1100.500	265.500
120	573.500	266.500
121	480.500	267.500
122	1178.500	267.500
123	395.500	268.500
124	619.500	268.500
125	271.500	272.500
126	681.500	275.500
127	234.500	279.500
128	711.500	279.500
129	349.500	284.500
130	157.500	286.500
131	827.500	290.500
132	22.500	291.500
133	431.500	292.500
134	538.500	292.500
135	863	292.500
136	113.500	294.500
137	1301.500	294.500
138	167.500	295.500
139	1149.500	297.500
140	76.500	298.500
141	982.500	299.500
142	1249.500	308.500
143	743.500	310.500
144	470.500	311.500
145	35.500	312.500
146	396.500	313.500
147	950.500	314.500
148	1108.500	315.500
149	287.500	317.500
150	901.500	318.500
151	1076.500	318.500
152	591.500	319.500
153	1039.500	320.500
154	682.500	321.500
155	627.500	326.500
156	198.500	327.500
157	315.500	327.500
158	252.500	328.500
159	347.500	331.500
160	868.500	332.500
161	1269.500	332.500
162	1199.500	333.500
163	517.500	337.500
164	109.500	340.500
165	431.500	342.500
166	161.500	347.500
167	987.500	347.500
168	1317	349.500
169	28.500	353.500
170	229.500	353.500
171	1163.500	354.500
172	394.500	356.500
173	72.500	357.500
174	717.500	359.500
175	556.500	364.500
176	745	364.500
177	466.500	365.500
