 	X	Y
1	367.500	7.500
2	1133.500	8.500
3	25.500	9.500
4	973.500	9.500
5	655.500	11.500
6	176.500	13.500
7	1010.500	20.500
8	816.500	21.500
9	128.500	25.500
10	552.500	26.500
11	229.500	27.500
12	714.500	27.500
13	1057.500	29.500
14	500.500	30.500
15	927.500	30.500
16	1189.500	31.500
17	774.500	32.500
18	691.500	37.500
19	1312.500	37.500
20	283.500	38.500
21	893.500	40.500
22	1240.500	41.500
23	1094.500	45.500
24	1276.500	46.500
25	73.500	49.500
26	329.500	50.500
27	630.500	50.500
28	984.500	52.500
29	749.500	53.500
30	422.500	54.500
31	1371.500	55.500
32	822.500	57.500
33	468.500	58.500
34	579.500	61.500
35	1206.500	61.500
36	1145.500	63.500
37	1016.500	65.500
38	796.500	68.500
39	248.500	70.500
40	36.500	71.500
41	102.500	71.500
42	721.500	71.500
43	663.500	72.500
44	866.500	73.500
45	930.500	73.500
46	188	75
47	1249.500	75.500
48	1314.500	76.500
49	130.500	79.500
50	282.500	79.500
51	375.500	79.500
52	553.500	81
53	895.500	80.500
54	1349.500	84.500
55	437.500	86.500
56	1101.500	87.500
57	637.500	89.500
58	1069.500	90.500
59	157.500	92.500
60	217.500	96.500
61	986.500	98.500
62	324.500	102.500
63	1285.500	104.500
64	496.500	105.500
65	933.500	105.500
66	58.500	106.500
67	1201.500	108.500
68	11.500	110.500
69	598.500	110.500
70	837.500	110.500
71	1155.500	110.500
72	730.500	116.500
73	804.500	116.500
74	1031.500	116.500
75	554.500	117.500
76	867.500	117.500
77	773	120
78	688.500	123.500
79	107.500	125.500
80	273.500	126.500
81	1108.500	126.500
82	389.500	129.500
83	1255.500	129.500
84	438.500	130.500
85	1334.500	130.500
86	907.500	136.500
87	660.500	137.500
88	1081.500	137.500
89	208.500	138.500
90	628.500	140.500
91	8.500	141.500
92	136.500	141.500
93	1294.500	141.500
94	177.500	144.500
95	52.500	145.500
96	322.500	146.500
97	353.500	146.500
98	940.500	151.500
99	1003.500	151.500
100	1158	152
101	555.500	152.500
102	974.500	153.500
103	470.500	156.500
104	752.500	156.500
105	1033.500	156.500
106	420.500	157.500
107	722.500	161.500
108	146.500	163.500
109	1347.500	165.500
110	833.500	166.500
111	99.500	167.500
112	1226.500	171.500
113	1115.500	172.500
114	589.500	173.500
115	796.500	175.500
116	1264.500	176.500
117	913.500	177.500
118	46.500	179.500
119	1082.500	179.500
120	209.500	181.500
121	881.500	181.500
122	246.500	182.500
123	648.500	183.500
124	619.500	186.500
125	318.500	190.500
126	943.500	191.500
127	985.500	192.500
128	386.500	194.500
129	559.500	194.500
130	503.500	195.500
131	1169.500	195.500
132	838.500	197.500
133	1040.500	198.500
134	1321.500	198.500
135	1009.500	200.500
136	1356.500	205.500
137	711.500	206.500
138	418.500	207.500
139	167.500	208.500
140	451.500	208.500
141	1232.500	208.500
142	349.500	210.500
143	34.500	213.500
144	109.500	213.500
145	78.500	214.500
146	281.500	219.500
147	649.500	219.500
148	883.500	219.500
149	743.500	220.500
150	803.500	221.500
