 	X	Y
1	620.500	7.500
2	950.500	7.500
3	998.500	7.500
4	365.500	8.500
5	661.500	8.500
6	1075.500	10.500
7	161.500	15.500
8	303.500	16.500
9	743.500	16.500
10	437.500	19.500
11	223.500	20.500
12	79.500	21.500
13	263.500	21.500
14	389.500	23.500
15	1275.500	26.500
16	1237.500	27.500
17	1374.500	29
18	829.500	31.500
19	119.500	40.500
20	1088.500	48.500
21	179.500	49.500
22	703.500	51.500
23	901.500	53.500
24	633.500	56.500
25	48.500	57.500
26	765.500	63.500
27	458.500	68.500
28	823.500	68.500
29	968.500	69.500
30	1183.500	69.500
31	1012.500	70.500
32	1244.500	73.500
33	416.500	74.500
34	111.500	75.500
35	346.500	75.500
36	1294.500	76.500
37	608.500	77.500
38	1099.500	77.500
39	548.500	81.500
40	500.500	84.500
41	925.500	84.500
42	714.500	85.500
43	252.500	86.500
44	868.500	86.500
45	669.500	87.500
46	1069.500	88.500
47	199.500	97.500
48	1174.500	97.500
49	1348.500	97.500
50	1276.500	109.500
51	415.500	110.500
52	351.500	111.500
53	306.500	116.500
54	93.500	119.500
55	239.500	125.500
56	970.500	125.500
57	796.500	126.500
58	42.500	127.500
59	1012.500	127.500
60	844.500	128.500
61	722.500	129.500
62	189.500	133.500
63	653.500	133.500
64	1124	133.500
65	1076.500	137.500
66	1194.500	139.500
67	599.500	141.500
68	888.500	145.500
69	1255.500	145.500
70	487.500	148.500
71	92.500	149.500
72	444.500	153.500
73	140.500	155.500
74	392.500	156.500
75	1348.500	156.500
76	23.500	158.500
77	706.500	162.500
78	542.500	163.500
79	967.500	165.500
80	297.500	168.500
81	780.500	172.500
82	188.500	173.500
83	641.500	178.500
84	821.500	178.500
85	101.500	180.500
86	343.500	180.500
87	1068.500	183.500
88	490.500	184.500
89	1103	185.500
90	443.500	187.500
91	1035.500	187.500
92	1164.500	189.500
93	1231.500	190.500
94	51.500	191.500
95	1274.500	195.500
96	871.500	196.500
97	274.500	199.500
98	692.500	200.500
99	973.500	201.500
100	915.500	202.500
101	201.500	208.500
102	585.500	210.500
103	355.500	216.500
104	757.500	216.500
105	535.876	222.124
106	48.500	223.500
107	450.500	226.500
108	1166.500	226.500
109	126.500	228.500
110	661.500	234.500
111	324.500	235.500
112	847.500	236.500
113	796.500	237.500
114	82.500	238.500
115	911.500	242.500
116	956.500	242.500
117	186.500	245.500
118	389.500	248.500
119	1022.500	253.500
120	1225.500	254.500
121	234.500	255.500
122	276.500	255.500
123	1107.500	256.500
124	474.500	259.500
125	1062.500	260.500
126	1352.500	260.500
127	1153.500	261.500
128	155.500	262.500
129	1280.500	263.500
130	87.500	269.500
131	12.500	280.500
132	1309.500	282.500
133	618.500	286.500
134	663.500	288.500
135	711.500	288.500
136	514.500	289.500
137	760.500	290
138	573.500	291.500
139	435.500	296.500
140	819.500	297.500
141	864.500	297.500
142	945.500	305.500
143	306.500	307.500
144	365.500	307.500
145	268.500	308.500
146	1012.500	311.500
147	49.500	312.500
148	217.500	313.500
149	1090.500	317.500
150	1138.500	319.500
151	170.500	320.500
152	650.500	320.500
153	702.500	320.500
154	1192.500	321.500
155	601.500	322.500
156	1299.500	328.500
157	786.500	329.500
158	464.500	331.500
159	1240.500	332.500
