 	X	Y
1	1361.500	8.500
2	745.500	14.500
3	538.500	20.500
4	993.500	25.500
5	1237.500	29.500
6	925.500	30.500
7	867.500	39.500
8	828.500	46.500
9	1267.500	46.500
10	1139.500	47.500
11	1341.500	47.500
12	776.500	49.500
13	412.500	50.500
14	358.500	52.500
15	205.500	53.500
16	723.500	56.500
17	256.500	58.500
18	313.500	58.500
19	675	62.500
20	1049.500	63.500
21	155.500	68.500
22	626	69.500
23	48.500	73.500
24	1082.500	74.500
25	1178.500	80.500
26	885.500	83.500
27	490.500	85.500
28	447	89.500
29	1139.500	89.500
30	946.500	90.500
31	378.500	91.500
32	69	92.500
33	31.500	94.500
34	564.500	96
35	334	97
36	719.500	96.500
37	286.500	100
38	1297.500	100.500
39	228	104.500
40	1368	105.500
41	795.500	105.500
42	1026.500	110.500
43	1245	113.500
44	161.500	115.500
45	11.500	118.500
46	118.500	120.500
47	848.500	122.500
48	979.500	122.500
49	773.500	128.500
50	1109.500	132.500
51	676.500	133.500
52	1221.049	134.522
53	1345.500	136.500
54	507.478	140.951
55	72.500	145.500
56	358.500	146.500
57	1144.500	149.500
58	625.500	151.500
59	914.500	151.500
60	580.500	154.500
61	265.500	158.500
62	711.500	160.500
63	1076.500	162.500
64	653.500	163.500
65	221.500	165.500
66	453.500	166.500
67	173.500	170.500
68	1299.500	172
69	399.500	175.500
70	1017.500	176.500
71	130.500	177.500
72	1251.124	186.876
73	975.500	187.500
74	1333	187.500
75	487	188.500
76	46.500	193
77	589.500	192.500
78	912.500	198.500
79	872.500	203
80	266	203.500
81	315.500	203.500
82	821.500	209.500
83	1202.500	210.500
84	765	213.500
85	1167.500	214.500
86	140.500	217.500
87	409.500	219.500
88	541.500	223.500
89	715.500	224.500
90	77.500	226.500
91	349	226.500
92	1367.500	227.500
93	191	233.500
94	974.500	234.500
95	1108.500	234.500
96	625	236.500
97	674.500	236.500
98	1065.500	236.500
99	18.500	238.500
100	1143.124	243.124
101	1029.500	251.500
102	511.500	255.500
103	568.500	262.500
104	121.500	265.500
105	455.500	266.500
106	872.500	267.500
107	407.500	268.500
108	811.500	272.500
109	55.500	274.500
110	365.500	275.500
111	1331	277.500
112	947.500	279
113	1249.500	280.500
114	898.500	281.500
115	166.500	284.500
116	321.500	284.500
117	746	285.500
118	1288.500	285.500
119	257	292.500
120	209.500	294.500
121	627.500	295.500
122	1176.500	298.500
123	1069.500	299.500
124	1010.500	310
125	80.500	311.500
126	806.500	311.500
127	412.500	313.500
128	688.124	317.124
129	38.500	319.500
130	1135.500	321.500
131	931.500	322.500
132	645.500	325.500
133	581.500	326.500
134	536.500	334.500
135	973.500	334.500
136	493.500	335.500
137	1072.500	338.500
138	1341.500	341.500
139	1237.500	343.500
140	365.500	348.500
141	884.500	351.500
142	443.500	354.500
143	1292.500	354.500
144	322.500	356.500
145	1139	356.500
146	762	357.500
147	239.500	361.500
148	936.500	364.500
149	700.500	366.500
150	591.500	367.500
151	180.500	368.500
152	627.500	369.500
153	135.500	377.500
154	1204.500	377.500
155	843.500	384.500
156	1370.500	387.500
157	37.500	388.500
158	539.124	393.124
159	446.500	394.500
160	498.500	394.500
161	106.500	395.500
