 	X	Y
1	551.500	5.500
2	629.500	6.500
3	926.500	7.500
4	237.500	9.500
5	713.500	10.500
6	421.500	11.500
7	142.500	13.500
8	362.500	21.500
9	1133.500	24.500
10	103.500	26.500
11	1298.500	26.500
12	822	28.500
13	1191.500	28.500
14	1379.500	28.500
15	493.500	29.500
16	1041.500	30.500
17	295.500	32.500
18	1234	32.500
19	862.500	36.500
20	440.500	38.500
21	923.500	45.500
22	961.500	46.500
23	714	50
24	219.500	55.500
25	548.500	55.500
26	608.500	58.500
27	1286.500	62.500
28	166.500	63.500
29	107.500	64.500
30	694.500	65.500
31	1145.500	67.500
32	365.500	77.500
33	423.500	79.500
34	35.500	80.500
35	82.500	83
36	1036.500	83.500
37	1382.500	85.500
38	544.500	90
39	1192.500	91.500
40	936.500	95.500
41	762.500	98.500
42	842.500	100.500
43	1286.500	103.500
44	242.500	105.500
45	144	106.500
46	688.500	111.500
47	424.500	116
48	564.500	117.500
49	630.500	117.500
50	478.500	118.500
51	39.500	120.500
52	279.500	126.500
53	218.500	135.500
54	863.500	137.500
55	936.500	139.500
56	1015.500	139.500
57	22.500	141.500
58	364.500	141.500
59	1378.500	143.500
60	1284.500	144.500
61	1159.500	147.500
62	146.500	153.500
63	61.500	156.500
64	815.500	156.500
65	627	158.500
66	709.500	162.500
67	762.500	164.500
68	1039.500	165.500
69	419.500	168.500
70	580.500	172.500
71	1352.500	175.500
72	1194.500	179
73	455.500	179.500
74	543.500	181.500
75	259.500	187.500
76	859.500	187.500
77	225.500	189.500
78	989.500	191.500
79	937.500	195.500
80	676.500	196.500
81	1285.500	196.500
82	490.500	200.500
83	1155.500	206.500
84	766.500	209.500
85	363.500	215.500
86	707.500	215.500
87	161.500	222.500
88	231.500	223.500
89	1192.500	223.500
90	1035.500	224.500
91	933.500	227.500
92	547.500	234.500
93	1373.500	237
94	31.500	239.500
95	1287.500	244.500
96	264.500	247.500
97	1127.500	253.500
98	694.500	254.500
99	613	256.500
100	421.500	260.500
101	862.500	260.500
102	549.500	261.500
103	1188.500	264.500
104	766.500	265.500
105	463.500	267.500
106	138.500	269.500
107	821.500	269.500
108	1036.500	273.500
109	228.500	279.500
110	364.500	283.500
111	31.500	286.500
112	268.500	287.500
113	1282.500	288.500
114	160	290.500
115	917.500	294.500
116	69.500	295.500
117	1371.500	295.500
118	953.500	297.500
119	429.500	300.500
120	637.500	304.500
121	1353.500	305.500
122	1135.500	308.500
123	765.500	313.500
124	125.500	315
125	819.500	314.500
126	563.500	315.500
127	1023.500	318.500
128	1176.500	323.500
129	30	324.500
130	365.500	324.500
131	914.500	327.500
132	857.500	334.500
133	703	336.500
134	250.500	338.500
135	485.500	339.500
136	640.500	339.500
137	214.500	341.500
138	1331.500	344.500
139	1279.500	348.500
140	426.500	353.500
