 	X	Y
1	174.500	2.729
2	236.500	3.812
3	438.500	2.244
4	496.500	1.767
5	1265.500	3.219
6	60.500	13.500
7	21.500	15.500
8	525.500	35.500
9	721.500	35.500
10	602.500	38
11	1330.500	85.500
12	1276.500	88.500
13	1216.500	90.500
14	1152.500	92.500
15	1034.500	99
16	397.500	100.500
17	259.500	102.500
18	964.500	108.500
19	896.500	111.500
20	93.500	113.500
21	453.500	114.500
22	44.500	115.500
23	507.500	116.500
24	837.500	117.500
25	344.500	118.500
26	572.500	119
27	770.500	118.500
28	5.500	119.500
29	193.500	122.500
30	643.500	122.500
31	135.500	124.500
32	1105.500	125.500
33	286.500	130.500
34	1160.500	132.500
35	1235.500	132.500
36	740.500	142.500
37	964.500	146
38	249.500	153.500
39	822.478	153.951
40	668.500	161.500
41	579.500	164.500
42	454.500	166.500
43	354.500	170.500
44	419.500	170.500
45	133.500	171.500
46	183.500	172.500
47	509.500	173.500
48	5.500	174.500
49	1314.500	178.500
50	1211.500	188.500
51	1151.500	194.500
52	1287.500	196.500
53	1105.500	204.500
54	938.124	211.124
55	1014.500	213.500
56	802.500	215.500
57	870.500	215.500
58	624.500	221.500
59	730.500	224.500
60	346.500	228.500
61	471	228.500
62	518.500	230.500
63	35.500	231.500
64	310	232.500
65	103.500	234.500
66	1127.500	237.500
67	1048.500	238.500
68	269.500	248.500
69	6.500	249.500
70	383.500	252.500
71	559.500	253.500
72	220.500	254.500
73	442.500	263.500
74	1271.500	270.500
75	91.500	272.500
76	160	272.500
77	1170.500	276.500
78	908.500	295.500
79	824.500	298.500
80	1319.500	299.500
81	1068.500	301.500
82	779.500	302.500
83	1014.500	304.500
84	488.500	311.500
85	689.500	313.500
86	580.500	314.500
87	390.500	317.500
88	969.500	318
89	347.500	320.500
90	1256.500	320.500
91	1189.500	323.500
92	237.500	327.500
93	1119.500	329.500
94	20.500	333
95	300.500	336.500
96	999.500	341.500
97	892.500	347.500
98	759.500	348.500
99	434	350.500
100	818.500	353.500
101	101.500	359.500
102	696.500	359.500
103	654.500	361.500
104	609.500	362.500
105	166.500	363.500
106	517.500	365.500
107	234.500	377.500
108	320.500	382.500
109	42.500	388.500
110	2.729	396.500
111	1208.500	408.500
112	1277.500	417.500
113	939.500	421.500
114	847.500	422.500
115	1114.500	423.500
116	762.500	435.500
117	1020.500	436.500
118	702	441
119	904.500	441.500
120	167.500	449.500
121	388.500	449.500
122	574.500	449.500
123	218.500	451.500
124	432.500	451.500
125	636.500	451.500
126	481.500	452.500
127	43.500	453.500
128	1079	453.500
129	326.500	454.500
130	1220	458.500
131	1175.500	461.500
132	974.500	462.500
133	1129.500	471.500
134	730.500	474.500
135	796.500	474.500
136	516.500	481.500
137	866.500	490.500
138	258.500	492.500
139	938.500	493.500
140	340.500	495.500
141	637.500	499.500
142	1332.188	502.500
143	110.500	504
144	595.500	503.500
145	69.500	507.500
146	1283.500	509.500
147	207.500	514.500
148	1164.500	517.500
149	160.500	521.500
150	1209.500	521.500
151	4.500	523.500
152	1090.500	534.500
153	1035.500	540.500
154	881.500	549.500
155	693.500	550.500
156	1252.500	551.500
157	515.500	553.500
158	737.500	554.500
159	1311.500	561.500
160	421.500	562.500
161	354.500	565.500
162	1149.500	565.500
163	810.500	567.500
164	567.500	571.500
165	1055.500	573.500
166	1230.500	574.500
167	253.500	575.500
168	627.500	576.500
169	153.500	577.500
170	200.500	577.500
171	1191.500	578.500
172	57.500	582
173	693.500	581.500
174	1111	584.500
175	110.500	588.500
176	477	589.500
177	1006.500	594.500
178	321.500	597.500
179	962.500	598.500
180	902.500	606.500
181	97.500	617.500
182	716.500	618.500
183	498.500	624.500
184	762.500	624.500
185	408.500	625.500
186	1239.500	625.500
187	442.500	641.500
188	1128.500	641.500
189	29.500	647.500
190	1064.500	647.500
191	1215.500	647.500
192	292.500	648.500
193	347.500	651.500
194	122.500	653.500
195	1018.500	655.500
196	957.500	660
197	908.500	660.500
198	803.500	672.500
199	849.500	673.500
200	673.500	683.500
