@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-3,5-9,11-21,23-27,29-33,35-36'

@attribute MEAN_CLUSTERING_COEFFICIENT_T50 numeric
@attribute MEAN_CLUSTERING_COEFFICIENT_T80 numeric
@attribute MEAN_CLUSTERING_COEFFICIENT_T140 numeric
@attribute MEAN_CLUSTERING_COEFFICIENT_T170 numeric
@attribute MEAN_CLUSTERING_COEFFICIENT_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
0.070874,0.444366,0.581363,0.60686,0.625421,AMB
0.08964,0.419023,0.570876,0.597368,0.615865,AMB
0.08639,0.455551,0.579888,0.60417,0.622029,AMB
0.148996,0.470256,0.58265,0.606896,0.62477,AMB
0.209625,0.465241,0.587375,0.60897,0.624956,AMB
0.174145,0.499617,0.592733,0.610791,0.625193,UM90
0.176484,0.480127,0.588981,0.611987,0.628571,UM90
0.187596,0.488617,0.591438,0.611886,0.627008,UM90
0.210461,0.495651,0.591187,0.612219,0.628457,UM90
0.163722,0.483976,0.589466,0.610087,0.625797,UM90
0.212715,0.494686,0.59527,0.615539,0.629607,CO2
0.211879,0.497821,0.593666,0.612027,0.628252,CO2
0.195728,0.498917,0.593471,0.61407,0.629898,CO2
0.190565,0.490116,0.592707,0.613637,0.628809,CO2
0.218507,0.497807,0.593313,0.612399,0.628321,CO2
