@relation 'classical-weka.filters.unsupervised.attribute.Remove-R2-6,8-12,14-18,20-24,26-30,32-36'

@attribute MEAN_DEGREE_T50 numeric
@attribute MEAN_DEGREE_T80 numeric
@attribute MEAN_DEGREE_T110 numeric
@attribute MEAN_DEGREE_T140 numeric
@attribute MEAN_DEGREE_T170 numeric
@attribute MEAN_DEGREE_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
1.718447,5.559395,10.686825,17.382289,25.447084,34.738661,AMB
1.610811,5.232816,10.31929,16.878049,24.776053,33.813747,AMB
1.755501,5.533898,10.872881,17.881356,26.042373,35.610169,AMB
1.971084,5.7,11.495833,18.508333,27.0375,36.9125,AMB
2.306202,6.578182,13.054545,21,30.654545,41.767273,AMB
2.621795,7.779503,15.21118,24.71118,35.680124,48.658385,UM90
2.451499,7.105085,14.115254,22.759322,33.037288,44.752542,UM90
2.532628,7.395904,14.515358,23.368601,34.153584,46.600683,UM90
2.660163,7.677316,14.977636,24.083067,35.044728,47.696486,UM90
2.353357,7.2,13.983193,22.682353,33.072269,44.92437,UM90
2.56701,7.380795,14.437086,23.291391,33.990066,46.019868,CO2
2.854071,8.216463,16.070122,26.121951,37.820122,51.625,CO2
2.734177,7.919629,15.384853,24.763524,35.965997,48.602782,CO2
2.555932,7.353038,14.558292,23.261084,33.82266,45.845649,CO2
2.904478,8.20384,16.174298,25.834564,37.911374,51.38257,CO2
