@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1,3-7,9-13,15-19,21-25,27-31,33-36'

@attribute MEAN_HIERC_DEGREE_2_T50 numeric
@attribute MEAN_HIERC_DEGREE_2_T80 numeric
@attribute MEAN_HIERC_DEGREE_2_T110 numeric
@attribute MEAN_HIERC_DEGREE_2_T140 numeric
@attribute MEAN_HIERC_DEGREE_2_T170 numeric
@attribute MEAN_HIERC_DEGREE_2_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
3.606796,32.898488,119.75378,314.915767,675.226782,1261.049676,AMB
3.124324,29.445676,112.399113,299.62306,646.48337,1208.399113,AMB
3.662592,32.809322,124.470339,334.830509,711.491525,1334.877119,AMB
4.742169,35.441667,141.879167,365.916667,783.295833,1458.525,AMB
6.251938,46.48,179.836364,464.712727,992.752727,1844.636364,AMB
7.932692,63.813665,241.745342,639.854037,1338.158385,2493.217391,UM90
6.984127,53.650847,209.105085,542.681356,1144.108475,2104.901695,UM90
7.45679,58.208191,222.273037,575.412969,1232.368601,2302.829352,UM90
8.130081,61.971246,233.447284,603.44409,1281.964856,2382.035144,UM90
6.579505,54.890756,204.638655,536.67563,1146.043697,2121.663866,UM90
7.676976,57.711921,218.980132,568.831126,1216.900662,2235.652318,CO2
9.308756,71.310976,269.865854,713.057927,1498.10061,2798.192073,CO2
8.699367,65.944359,245.863988,635.316847,1341.953632,2457.97527,CO2
7.633898,57.336617,220.857143,562.482759,1190.213465,2189.796388,CO2
9.58806,70.502216,271.181684,692.549483,1494.209749,2752.974889,CO2
