@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-2,4-8,10-20,22-26,28-32,34-36'

@attribute MEAN_HIERC_DEGREE_3_T50 numeric
@attribute MEAN_HIERC_DEGREE_3_T80 numeric
@attribute MEAN_HIERC_DEGREE_3_T140 numeric
@attribute MEAN_HIERC_DEGREE_3_T170 numeric
@attribute MEAN_HIERC_DEGREE_3_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
7.84466,197.853132,5787.058315,18172.82073,46428.41037,AMB
6.27027,169.210643,5435.219512,17250.74945,44212.50998,AMB
7.828851,198.271186,6388.461864,19816.39407,51080.52542,AMB
11.913253,227.358333,7483.329167,23487.225,59574.575,AMB
17.542636,338.116364,10523.24364,32929.05455,83415.00727,AMB
24.846154,533.267081,16880.70497,51161.7236,130193.2143,UM90
20.359788,414.471186,13197.8339,40408.2,101050.7525,UM90
22.578483,468.433447,14494.46075,45535.6314,116609.157,UM90
25.453659,508.284345,15346.75719,47657.24281,120971.0735,UM90
19.321555,427.321008,12939.91261,40556.67899,102370.9345,UM90
23.549828,459.228477,14162.59272,44515.06623,111041.2682,CO2
31.284178,631.39939,19812.64634,60468.3628,154525.5335,CO2
28.46519,558.587326,16499.63833,50685.06337,125918.7017,CO2
23.671186,456.850575,13793.44828,42467.30049,106022.7882,CO2
32.510448,615.098966,18794.52585,59674.70606,149585.8139,CO2
