@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-4,6-10,12-16,18-22,24-28,30-34,36'

@attribute AVG_SHORTEST_PATH_T50 numeric
@attribute AVG_SHORTEST_PATH_T80 numeric
@attribute AVG_SHORTEST_PATH_T110 numeric
@attribute AVG_SHORTEST_PATH_T140 numeric
@attribute AVG_SHORTEST_PATH_T170 numeric
@attribute AVG_SHORTEST_PATH_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
0.099131,11.517395,7.603461,5.711602,4.644274,3.934261,AMB
0.037076,10.801981,7.306016,5.55727,4.520434,3.857265,AMB
0.119912,11.209561,7.455909,5.646992,4.606283,3.892116,AMB
0.426797,12.109325,7.454628,5.650148,4.567067,3.893824,AMB
8.786317,10.888465,7.217274,5.51798,4.515953,3.844736,AMB
18.970989,10.612627,7.148788,5.454971,4.474547,3.824778,UM90
5.907498,10.787897,7.229519,5.520923,4.52429,3.852137,UM90
3.984258,10.519384,7.025764,5.366448,4.390957,3.758321,UM90
24.942931,10.552981,7.132519,5.504276,4.493439,3.837766,UM90
4.783689,10.83174,7.238927,5.552687,4.536774,3.863617,UM90
7.980393,10.729421,7.068158,5.491208,4.470462,3.827364,CO2
23.189101,10.220811,6.897715,5.319163,4.384151,3.735985,CO2
25.356607,10.64369,7.178887,5.536365,4.534781,3.882932,CO2
19.752652,10.984239,7.29635,5.58026,4.576106,3.90325,CO2
22.56803,10.596676,7.108541,5.496132,4.48505,3.837348,CO2
