@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-5,7-11,13-17,19-23,25-29,31-35'

@attribute PEARSON_CORRELATION_T50 numeric
@attribute PEARSON_CORRELATION_T80 numeric
@attribute PEARSON_CORRELATION_T110 numeric
@attribute PEARSON_CORRELATION_T140 numeric
@attribute PEARSON_CORRELATION_T170 numeric
@attribute PEARSON_CORRELATION_T200 numeric
@attribute class {AMB,UM90,CO2}

@data
0.200112,0.330266,0.452739,0.450146,0.446164,0.435416,AMB
0.197614,0.383257,0.506864,0.607156,0.613604,0.606237,AMB
0.170839,0.362062,0.503782,0.544601,0.544918,0.540292,AMB
0.267842,0.495434,0.622376,0.656743,0.648304,0.628025,AMB
0.275049,0.531715,0.592529,0.593686,0.602385,0.587084,AMB
0.324675,0.444521,0.541773,0.561302,0.562759,0.5317,UM90
0.208771,0.50196,0.541866,0.564958,0.560388,0.547096,UM90
0.252253,0.484264,0.623904,0.614839,0.611195,0.590928,UM90
0.232896,0.400242,0.493107,0.528079,0.531342,0.510849,UM90
0.366124,0.451758,0.558629,0.581685,0.590672,0.566783,UM90
0.232994,0.413416,0.521633,0.579191,0.595193,0.586881,CO2
0.316438,0.480491,0.543277,0.561721,0.571433,0.538987,CO2
0.256031,0.414438,0.459567,0.457516,0.458257,0.45054,CO2
0.317957,0.447065,0.480928,0.475298,0.464193,0.440385,CO2
0.265037,0.40576,0.456119,0.473399,0.481735,0.470718,CO2
