@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-21,29-42'

@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute class {L4,L24}

@data
0.501709,3.064777,0.195829,6.974359,53.948718,427.282051,0.601965,L4
0.582562,2.779365,0.175484,7.388889,60.055556,497.055556,0.609708,L4
0.547864,2.944872,0.544158,7.65,67.1,617.1,0.608969,L4
0.587231,2.859608,0.407942,9.45098,98.627451,1058.823529,0.62746,L4
0.595288,3.016844,0.188996,8.291667,73.625,661.208333,0.634565,L4
0.558711,3.126829,0.08603,6.780488,49.707317,369.609756,0.573035,L4
0.552381,2.946032,0.252798,6.444444,44.277778,304.944444,0.617791,L4
0.541956,3.105105,0.520131,6.324324,46.864865,365.945946,0.552391,L4
0.513004,3.099865,0.40903,7.282051,58.923077,486.153846,0.613081,L4
0.603618,2.889456,0.232807,9.428571,97.265306,1018.734694,0.616412,L4
0.599929,2.853061,0.361191,9.24,93.72,974.92,0.620377,L4
0.588421,3.061224,0.362784,8.326531,76.408163,720.489796,0.615417,L4
0.606406,2.832203,0.40678,12.268657,165.402985,2292.686567,0.633773,L4
0.597252,2.834101,0.279345,11.936508,151.873016,1956.888889,0.631651,L4
0.60903,2.972862,0.235106,11.015873,130.031746,1557.206349,0.629681,L4
0.591829,2.646401,0.411581,10.851852,131.888889,1658.925926,0.61631,L4
0.608613,2.808227,0.349266,10.758621,125.965517,1505.344828,0.621464,L4
0.558853,2.944122,0.442677,9.358491,95.886792,1014.981132,0.605718,L4
0.626245,2.702105,0.42359,15.315789,253.421053,4290.973684,0.647286,L24
0.630854,2.781698,0.358179,15.809524,268.52381,4646.380952,0.647894,L24
0.622052,2.73583,0.491472,16.933333,313.022222,5954.8,0.642963,L24
0.6065,2.902282,0.37032,12.15625,160.53125,2170.53125,0.636965,L24
0.604315,2.677966,0.329776,11.966102,156.271186,2086.135593,0.624267,L24
0.583644,2.890534,0.491261,10.903226,131.645161,1641.419355,0.612384,L24
0.620725,2.746411,0.414689,14.519481,226.38961,3612.597403,0.63563,L24
0.61259,2.828169,0.295042,12.873239,176.957746,2472.84507,0.6384,L24
0.605287,2.830553,0.379081,12.588235,170.852941,2360.794118,0.63234,L24
0.61541,2.824051,0.330506,15.1,242.85,3967.225,0.635028,L24
0.622846,2.793746,0.396243,15.619048,263.619048,4535.880952,0.641635,L24
0.620298,2.779938,0.4185,14.962963,239.975309,3924.320988,0.640347,L24
0.583161,3.057861,0.205588,9.966102,107.423729,1176.677966,0.613265,L24
0.595063,2.920145,0.365368,10.517241,119.344828,1382.137931,0.639143,L24
0.60067,2.914286,0.32022,10.178571,112.035714,1253.678571,0.627826,L24
0.615148,2.802221,0.352869,12.225806,163,2217.935484,0.641594,L24
0.625528,2.745637,0.329079,11.83871,151.354839,1978.903226,0.635099,L24
0.608,2.942932,0.370543,11.911765,153.441176,2018.676471,0.623225,L24
