@relation classical-weka.filters.unsupervised.attribute.Remove-R8-42

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute class {L4,L24}

@data
2.789474,9.210526,30.315789,0.316667,5.083926,-0.025359,4,L4
3,10.647059,38.117647,0.307843,4.479501,0.089856,4,L4
2.95,10.55,39.7,0.3325,4.194872,0.408755,4.3,L4
3.882353,17.058824,76.823529,0.39281,4.60549,0.312091,4.941176,L4
3.375,12.5,46.25,0.391667,4.919326,-0.013908,4.708333,L4
2.390244,6.585366,18.536585,0.235772,5.1,0.236669,3.756098,L4
2.611111,8.055556,25.388889,0.300926,5.695238,0.183434,3.611111,L4
2.823529,9.411765,32.235294,0.330392,3.525847,0.254335,3.257143,L4
3,11.833333,50.055556,0.361243,3.622222,0.349952,3.74359,L4
3.591837,14.979592,63.346939,0.296599,4.431122,0.169587,4.77551,L4
3.6,14.8,61.76,0.368286,5.178776,0.149709,5.24,L4
3.346939,12.857143,49.959184,0.391156,4.959184,0.136739,4.653061,L4
5.373134,31.761194,192.955224,0.513611,4.138851,0.384044,6.835821,L4
5.111111,28.825397,163.142857,0.492026,4.205837,0.058198,6.412698,L4
4.761905,24.47619,127.111111,0.504989,4.384025,0.16687,6.349206,L4
4.481481,22.259259,113.333333,0.434744,4.085954,0.37647,5.666667,L4
4.655172,24.034483,126.344828,0.440805,4.125227,0.255113,5.793103,L4
3.962264,17.584906,79.09434,0.384906,4.369376,0.176421,5.245283,L4
6.763158,49.710526,373.552632,0.541646,3.87193,0.394272,8.421053,L24
6.642857,47.785714,350.833333,0.518141,4.078026,0.359989,8.785714,L24
7.088889,54.533333,430.6,0.541293,4.138826,0.427907,9.288889,L24
5.25,30.3125,180.0625,0.482999,4.231151,0.378525,6.84375,L24
4.745763,24.983051,135.152542,0.428652,4.137931,0.386772,6.135593,L24
4.612903,24,130.064516,0.400115,4.281861,0.453704,5.903226,L24
6.38961,43.584416,300.935065,0.532756,4.056391,0.258481,8.103896,L24
5.521127,33.098592,199.295775,0.498435,4.275252,0.070125,6.957746,L24
5.411765,31.558824,187.294118,0.476856,4.175154,0.311367,6.823529,L24
6.4,44.35,313.325,0.516706,4.165506,0.352688,8.2,L24
6.595238,47.190476,345.071429,0.517232,4.127367,0.373146,8.452381,L24
6.320988,43.061728,297.62963,0.519302,4.253395,0.266975,8.197531,L24
3.864407,16.508475,70.847458,0.450605,5.068381,0.058508,5.288136,L24
4.37931,21.068966,102.517241,0.509975,4.623714,0.143956,5.896552,L24
4.321429,21.071429,104.285714,0.46318,4.412987,0.162708,5.892857,L24
5.064516,29.032258,170.419355,0.452522,4.091486,0.297679,6.935484,L24
4.95082,26.721311,146.131148,0.492194,4.160656,0.191843,6.354839,L24
5,26.970588,147.882353,0.476225,4.411765,0.277915,6.647059,L24
