@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-7,15-42'

@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute class {L4,L24}

@data
18.105263,83.684211,0.438095,3.822191,0.259536,4.461538,22.717949,L4
18,81.277778,0.475926,3.504762,0.041667,4.944444,26.333333,L4
22.8,130.7,0.428036,3.789744,0.515967,5.5,36.7,L4
26.784314,147.45098,0.511671,3.705098,0.221346,6.431373,45.372549,L4
23.875,122.125,0.479365,3.771277,0.162584,5.75,35.75,L4
16.292683,71.707317,0.373984,4.240244,0.161718,4.878049,25.902439,L4
14.833333,63.166667,0.378704,3.793651,0.39362,4.388889,21.055556,L4
12.457143,48.971429,0.437143,4.342857,0.249294,4.162162,20.054054,L4
16.820513,78.666667,0.371795,4.17004,0.351812,4.871795,27.74359,L4
25.469388,138.122449,0.487658,3.757653,0.225806,6.244898,42.530612,L4
30.08,177,0.481444,3.617959,0.365241,6.64,47.92,L4
24.040816,125.755102,0.455977,3.783163,0.189324,5.55102,34.081633,L4
50.41791,380.746269,0.563717,3.67119,0.42608,8.626866,81.014925,L4
44.063492,306.825397,0.504523,3.659498,0.263936,8.063492,69.555556,L4
43.301587,300.126984,0.551386,3.699437,0.271775,7.555556,61.365079,L4
35.888889,234.851852,0.496958,3.585604,0.421488,7.185185,56.888889,L4
37.344828,248,0.512999,3.584997,0.4206,7.241379,57.965517,L4
30.45283,180.943396,0.543845,3.732946,0.353189,6.226415,42.792453,L4
76.605263,715.289474,0.580781,3.468772,0.419915,10.526316,120.947368,L24
83.261905,804.547619,0.582552,3.550201,0.348358,10.928571,128.285714,L24
94.155556,987.288889,0.57766,3.510612,0.509505,11.422222,141.333333,L24
50.90625,384.5,0.55915,3.529266,0.274509,8.25,73.875,L24
41.186441,283.830508,0.530861,3.568673,0.333908,8.067797,71.322034,L24
38.548387,258.774194,0.528495,3.790587,0.409653,7.387097,60.83871,L24
69.844156,614.12987,0.567818,3.553999,0.389662,10.155844,110.545455,L24
51.830986,389.380282,0.564006,3.734809,0.172507,8.873239,84.253521,L24
50.5,379.794118,0.550139,3.674715,0.278105,8.470588,77.323529,L24
72.375,650.125,0.568355,3.525,0.336349,10.225,111.95,L24
76.738095,710.738095,0.57013,3.631956,0.388074,10.714286,123.833333,L24
71.654321,636.296296,0.573056,3.622222,0.324087,10.271605,112.641975,L24
29.932203,170.983051,0.495924,3.998831,0.199112,6.745763,48.576271,L24
37.586207,242.896552,0.547523,3.733212,0.198835,7.62069,62.689655,L24
37.428571,241.5,0.517701,3.650649,0.300365,7.035714,53.607143,L24
52.741935,409.225806,0.525768,3.441036,0.331056,8.387097,76.645161,L24
44,308.387097,0.542066,3.57853,0.184235,8.096774,70.322581,L24
47.411765,343.911765,0.530987,3.696664,0.317609,8.352941,75.176471,L24
