@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-14,22-42'

@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute class {L4,L24}

@data
117.538462,0.426618,3.461538,0.2081,5.487179,33.487179,207.025641,L4
142.166667,0.505423,3.192063,0.212553,6.111111,40.5,271.277778,L4
258.5,0.552637,3.164103,0.442474,6.55,50.3,411.7,L4
325.803922,0.575023,3.188235,0.250223,7.882353,68.431373,611.764706,L4
224.291667,0.552546,3.375,0.155639,6.916667,50.875,377.625,L4
137.658537,0.532462,3.381707,0.011148,5.658537,34.780488,215.02439,L4
103,0.47672,3.314286,0.263403,5.444444,31.833333,188.777778,L4
99.459459,0.614543,3.599099,0.282843,5.243243,31.081081,192.27027,L4
164,0.485348,3.45749,0.376501,5.641026,36,237.128205,L4
292.979592,0.539083,3.288265,0.197582,7.795918,67.55102,594.489796,L4
349.72,0.574987,3.106122,0.173809,7.84,67.88,604,L4
212.285714,0.532362,3.5,0.204052,6.938776,53.755102,427.714286,L4
782.089552,0.589321,3.149706,0.409237,10.358209,117.044776,1356.776119,L4
606.603175,0.564729,3.154634,0.216598,9.873016,103.84127,1105.84127,L4
509.555556,0.572614,3.374296,0.369394,9.269841,91.968254,925.396825,L4
462.037037,0.56848,3.099231,0.384563,9.148148,93.111111,978.888889,L4
476.275862,0.559015,3.22444,0.419808,9.206897,93.482759,971.206897,L4
302.679245,0.548937,3.379536,0.42307,7.811321,68.188679,614.943396,L4
1428.973684,0.614768,3.027018,0.416567,12.789474,179.263158,2587.921053,L24
1536.452381,0.604433,3.153471,0.380151,13.333333,191.452381,2801.190476,L24
1798.377778,0.595727,3.098876,0.475724,14.222222,221.444444,3562.044444,L24
673.4375,0.590436,3.154266,0.323691,9.6875,102.125,1100.15625,L24
643.525424,0.570887,3.043834,0.288686,9.932203,107.59322,1190.033898,L24
516.548387,0.561767,3.255949,0.391649,9.258065,95,1013.451613,L24
1232.077922,0.604815,3.076213,0.425191,12.207792,159.714286,2139.298701,L24
810.929577,0.593503,3.216499,0.277208,11.014085,128.619718,1522.478873,L24
716.676471,0.585293,3.208516,0.293366,10.5,120.235294,1408.558824,L24
1246,0.598142,3.124367,0.324649,12.45,165.15,2226.75,L24
1457.714286,0.595438,3.123351,0.344913,13.166667,187.809524,2738,L24
1258.222222,0.59591,3.162654,0.338438,12.91358,179.382716,2554.518519,L24
354.474576,0.565357,3.524839,0.254557,8.237288,72.237288,640.067797,L24
524.896552,0.57864,3.211131,0.308065,9,87.413793,866.965517,L24
414.678571,0.554464,3.227922,0.266149,8.535714,78.892857,743.178571,L24
714.548387,0.589692,3.086198,0.327362,9.903226,106.677419,1173.032258,L24
620.806452,0.58088,3.111581,0.303803,10.064516,110.516129,1241.193548,L24
692.529412,0.576471,3.270852,0.402675,9.735294,103.205882,1120.147059,L24
