@relation 'classical-weka.filters.unsupervised.attribute.Remove-R1-27,35-42'

@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute class {L4,L24}

@data
0.601965,2.677463,0.322789,8.307692,74.871795,688.461538,0.603979,L4
0.609708,2.438095,0.260733,8.666667,82.555556,801.444444,0.623189,L4
0.608969,2.575641,0.46957,9.2,96.3,1050.9,0.613539,L4
0.62746,2.588235,0.38635,10.941176,132.705882,1653.803922,0.651697,L4
0.634565,2.705674,0.211432,9.5,96.666667,997.833333,0.639714,L4
0.573035,2.804878,0.235307,7.853659,66.439024,572.731707,0.593829,L4
0.617791,2.646032,0.048182,7.666667,63.888889,540.944444,0.623092,L4
0.552391,2.695195,0.452383,7.567568,65.297297,582.216216,0.596024,L4
0.613081,2.717949,0.295422,8.512821,79.384615,754.769231,0.614152,L4
0.616412,2.589286,0.229236,10.857143,129.510204,1570.44898,0.636991,L4
0.620377,2.597551,0.353596,11,132.64,1634.4,0.650244,L4
0.615417,2.763605,0.363883,10,108.938776,1208,0.632767,L4
0.633773,2.552239,0.399538,14.716418,238.41791,3970.865672,0.649454,L4
0.631651,2.554531,0.261207,14.190476,215.52381,3317.206349,0.646924,L4
0.629681,2.675883,0.25018,12.952381,178.126984,2483.587302,0.641373,L4
0.61631,2.44095,0.426651,12.740741,178.851852,2578.222222,0.639406,L4
0.621464,2.586812,0.330458,12.344828,166.724138,2308.241379,0.634433,L4
0.605718,2.660377,0.476242,11.396226,144,1872.264151,0.643115,L4
0.647286,2.459649,0.375496,17.947368,347.631579,6885.894737,0.664219,L24
0.647894,2.554791,0.338475,18.428571,365.142857,7369.809524,0.664429,L24
0.642963,2.507116,0.448042,19.644444,420.222222,9244.355556,0.655436,L24
0.636965,2.552083,0.383366,14.21875,219.09375,3438.09375,0.661423,L24
0.624267,2.436587,0.336904,13.762712,204.949153,3115.898305,0.640774,L24
0.612384,2.638815,0.415078,13.354839,194.032258,2894.193548,0.629587,L24
0.63563,2.517088,0.396316,16.857143,306,5675.480519,0.654751,L24
0.6384,2.600805,0.324214,14.957746,238.816901,3868.112676,0.660252,L24
0.63234,2.575066,0.324638,14.794118,235,3802.205882,0.651364,L24
0.635028,2.521203,0.31964,17.175,318.175,6010.325,0.655344,L24
0.641635,2.543029,0.345095,18.119048,354.738095,7073.904762,0.657012,L24
0.640347,2.584877,0.353998,17.654321,333.925926,6430.765432,0.658587,L24
0.613265,2.748685,0.258147,11.423729,140.745763,1757.423729,0.640777,L24
0.639143,2.727163,0.337414,12.137931,158.62069,2109.068966,0.652369,L24
0.627826,2.644805,0.276755,12.285714,164.571429,2250.964286,0.651524,L24
0.641594,2.484929,0.325834,13.870968,209.774194,3236.806452,0.659773,L24
0.635099,2.536224,0.383206,13.483871,197.516129,2961.645161,0.644105,L24
0.623225,2.645303,0.349488,14.088235,215.323529,3365.264706,0.638648,L24
