@relation classical-weka.filters.unsupervised.attribute.Remove-R1-35

@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute class {L4,L24}

@data
0.305822,9.846154,106.666667,1179.897436,0.632927,2.197031,0.269136,L4
0.27311,9.944444,106.833333,1165.555556,0.648749,2.079365,0.252265,L4
0.454393,10.95,136.35,1762.6,0.654434,2.120513,0.417923,L4
0.368615,12.392157,169.686275,2376.352941,0.658705,2.241569,0.322981,L4
0.251465,11.166667,134.625,1644.708333,0.665029,2.275709,0.214573,L4
0.327342,9.658537,100.878049,1074,0.631362,2.243902,0.280107,L4
0.2333,8.722222,82.333333,786.333333,0.63192,2.274603,0.164729,L4
0.37846,8.702703,84.810811,855.243243,0.607093,2.279279,0.418037,L4
0.286609,9.948718,109.025641,1219.948718,0.662761,2.278003,0.3148,L4
0.24198,12.77551,179.061224,2546.44898,0.670156,2.17602,0.213458,L4
0.305961,12.88,179.12,2527.32,0.660869,2.148571,0.246112,L4
0.264452,11.632653,147.510204,1904.571429,0.650821,2.265306,0.269106,L4
0.389195,17.014925,316.686567,6026.80597,0.668954,2.173677,0.323324,L4
0.247033,16.126984,278.190476,4857.428571,0.670416,2.160778,0.221965,L4
0.276755,14.857143,236.31746,3820.539683,0.664587,2.276498,0.300806,L4
0.386541,14.555556,233.037037,3813.037037,0.660156,2.102725,0.312946,L4
0.3708,14.586207,233.413793,3817.689655,0.658508,2.180278,0.323684,L4
0.379196,13.018868,186.641509,2738.679245,0.658447,2.208999,0.326994,L4
0.3707,20.447368,454.657895,10336.026316,0.681359,2.122807,0.342579,L24
0.335057,21,475.166667,10932.190476,0.685005,2.201377,0.285738,L24
0.441518,22.577778,556.466667,14099.288889,0.671474,2.1603,0.404811,L24
0.301849,16.3125,286.125,5102.5625,0.67724,2.183532,0.304973,L24
0.32,16.237288,285.423729,5109.389831,0.664617,2.094681,0.290899,L24
0.406867,15.129032,250.354839,4245.354839,0.648485,2.219989,0.36956,L24
0.352959,19.792208,423.194805,9257.350649,0.669222,2.13363,0.360382,L24
0.284819,16.957746,307.661972,5668.056338,0.670784,2.24829,0.28413,L24
0.338195,17.088235,315.617647,5927,0.670874,2.188762,0.289815,L24
0.327859,19.725,417.2,8958.975,0.672969,2.190823,0.272426,L24
0.311652,21.214286,487.428571,11404.714286,0.676912,2.176133,0.28873,L24
0.333467,20.123457,433.975309,9516.740741,0.675417,2.18642,0.281803,L24
0.231931,13.254237,187.389831,2682.644068,0.651753,2.340736,0.237585,L24
0.30299,14.103448,214.482759,3324.275862,0.674301,2.257713,0.310514,L24
0.320719,13.964286,212.321429,3296.5,0.668063,2.225974,0.305621,L24
0.332385,16.096774,283.709677,5098.419355,0.667741,2.139609,0.29809,L24
0.38287,15.870968,274.483871,4842.709677,0.672113,2.159175,0.293327,L24
0.356724,16.235294,286.176471,5145.058824,0.6584,2.245391,0.311728,L24
