@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
0.052910053,0.161347518,0.280272109,0.385931835,0.469061719,0.494821859,0.523316447,0.540940201,0.553147435,0.569793113,0.5811942,0.588584713,0.596730135,0.60189255,0.609524523,0.617073006,NAT
0.126326964,0.177056277,0.301763224,0.403092845,0.46738853,0.49718234,0.526486983,0.542811279,0.555563877,0.571745369,0.582014682,0.590138787,0.596621637,0.602222279,0.609145817,0.617279152,NAT
0.049439348,0.186873921,0.304093567,0.397720238,0.448309781,0.491282436,0.516754387,0.542941737,0.56047447,0.572854395,0.583273737,0.592713697,0.600102143,0.608283525,0.612189372,0.618867172,NAT
0.08127572,0.200856898,0.312730318,0.376572383,0.440360823,0.496027587,0.521313732,0.540727255,0.556876391,0.570690069,0.580648392,0.58804674,0.595306857,0.603329014,0.610632661,0.616214977,NAT
0.080296896,0.162462462,0.289389671,0.385754079,0.461993191,0.485001427,0.521165093,0.539164704,0.555510985,0.569858581,0.578239807,0.587967304,0.597075905,0.603753653,0.611737891,0.616131068,L4
0.116431925,0.256429156,0.349642005,0.419389645,0.483629664,0.516677753,0.536827901,0.553426138,0.566700196,0.576146785,0.586826593,0.595998512,0.60125894,0.608096069,0.616703804,0.62285784,L4
0.078583765,0.251791277,0.356282009,0.446464811,0.48205061,0.517363661,0.535815687,0.559850615,0.570682565,0.580182398,0.588706393,0.597611204,0.605635777,0.61305369,0.618047727,0.623558034,L4
0.11723301,0.25720524,0.33530978,0.444196962,0.482510357,0.521450557,0.544687535,0.556675046,0.568786521,0.579030499,0.588564794,0.595894624,0.603963672,0.611647234,0.616995464,0.622594014,L4
0.157798892,0.281759657,0.403937729,0.454746707,0.492288078,0.529415502,0.54945053,0.564824947,0.576289807,0.58706653,0.595331318,0.601612346,0.608222919,0.61574632,0.620850093,0.625600125,L24
0.131928181,0.241160028,0.381967132,0.450830251,0.494977995,0.528643036,0.544806483,0.561516282,0.571525535,0.582038211,0.592522665,0.60084462,0.606867831,0.615191627,0.619825598,0.625275794,L24
0.165429043,0.324931823,0.400227743,0.463855,0.500811454,0.529001578,0.547878861,0.563917058,0.574625224,0.584758566,0.595159705,0.604835543,0.612391605,0.61944558,0.624621406,0.628636326,L24
0.154603175,0.316738197,0.386621074,0.458530902,0.495367528,0.525779705,0.548980311,0.560600429,0.574431288,0.586105318,0.595998716,0.60566986,0.612870601,0.618448709,0.623945906,0.628450626,L24
