@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
1.466666667,2.132978723,3.091836735,4.324873096,5.654822335,7.187817259,8.817258883,10.66497462,12.54314721,14.54822335,16.64974619,18.88324873,21.25380711,23.55329949,26.1319797,29.04060914,NAT
1.52866242,2.145454545,3.143576826,4.286432161,5.653266332,7.180904523,8.899497487,10.63316583,12.50251256,14.54271357,16.55778894,18.89447236,21.22613065,23.57788945,26.1959799,28.95477387,NAT
1.504587156,2.25388601,3.172932331,4.365,5.885286783,7.541147132,9.241895262,11.09725686,13.12718204,15.21695761,17.3765586,19.59102244,21.99002494,24.65336658,27.44139651,30.10473815,NAT
1.481481481,2.179948586,3.201005025,4.285714286,5.634085213,7.137844612,8.957393484,10.84711779,12.86716792,14.77694236,16.93734336,19.01754386,21.41854637,23.96491228,26.70175439,29.34837093,NAT
1.481781377,2.03003003,2.878873239,3.933147632,5.231197772,6.557103064,8.033426184,9.576601671,11.29805014,13.20891365,15.11420613,17.1086351,19.19220056,21.43175487,23.77158774,26.05571031,L4
1.701408451,2.540540541,3.751789976,4.980952381,6.49047619,8.157142857,9.919047619,11.84285714,13.96666667,16.06190476,18.5,20.91428571,23.53809524,26.23809524,29.25238095,32.11428571,L4
1.689119171,2.598130841,3.789473684,5.063926941,6.547945205,8.187214612,10.14611872,12.18721461,14.25570776,16.36073059,18.7260274,21.36986301,23.92237443,26.7260274,29.61187215,32.44748858,L4
1.810679612,2.694323144,3.827956989,5.307526882,6.911827957,8.610752688,10.65806452,12.65806452,14.72688172,16.99354839,19.65591398,22.41290323,25.22150538,27.98709677,31.02795699,34.06021505,L4
1.885985748,2.854077253,4.08974359,5.472340426,7.093617021,8.89787234,10.82553191,12.83404255,15.0212766,17.44255319,19.92765957,22.54468085,25.42553191,28.63829787,31.3787234,34.43404255,L24
1.859484778,2.893081761,4.27027027,5.692307692,7.185031185,9.164241164,11.18503119,13.35966736,15.6008316,18.17879418,20.74844075,23.55925156,26.36590437,29.38461538,32.48232848,35.78378378,L24
1.856435644,2.872246696,4.147826087,5.406926407,6.904761905,8.722943723,10.70995671,12.82251082,15.03896104,17.42857143,20.02164502,22.59307359,25.31168831,28.08658009,31.04329004,34.05627706,L24
1.895238095,2.892703863,4.136170213,5.531914894,7.10212766,8.940425532,10.94893617,13.03829787,15.38723404,17.9106383,20.41702128,23.05957447,25.90212766,28.83404255,31.82978723,35.02978723,L24
