@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
2.514285714,5.212765957,10.75,20.53807107,34.5786802,54.88832487,81.70558376,119.1269036,164.7411168,222.177665,290.7055838,374.2994924,474.5228426,582.6142132,715.7309645,886.3807107,NAT
2.707006369,5.262337662,10.95717884,19.94472362,34.20100503,54.52261307,83.19095477,118.0653266,163.1859296,221.4874372,286.8492462,373.4874372,472.5577889,582.5979899,718.8341709,878.6281407,NAT
2.660550459,5.839378238,11.36842105,21.025,37.26683292,60.32917706,90.06982544,129.5461347,180.9725686,243.042394,316.2942643,403.0723192,508.723192,640.3142145,794.8329177,956.723192,NAT
2.543209877,5.480719794,11.58291457,20.40100251,34.58145363,54.93734336,85.39348371,124.9423559,175.4035088,231.8847118,304.1353383,383.8546366,486.1453634,608.39599,755.8897243,915.6390977,NAT
2.615384615,4.894894895,9.464788732,17.12534819,29.57660167,45.62116992,68.06128134,96.36768802,133.5766017,182.6128134,238.8356546,305.7994429,384.5125348,480.0167131,590.4735376,710.1671309,L4
3.504225352,7.44963145,15.59427208,26.89047619,45.08095238,70.76190476,103.9285714,147.9714286,205.3142857,271.3095238,359.8857143,459.9619048,582.4714286,723.4666667,898.147619,1085.438095,L4
3.362694301,7.803738318,15.65675057,27.63926941,45.58447489,70.68493151,107.739726,155.1278539,212.0091324,279.7945205,366.1187215,476.2785388,597.5022831,746.9315068,917.6666667,1102.456621,L4
3.883495146,8.419213974,16.46021505,30.59354839,51.03655914,78.52473118,120.2365591,169.0107527,227.4580645,301.8064516,404.6666667,526.4043011,666.0989247,821.483871,1010.150538,1217.625806,L4
4.232779097,9.394849785,18.38888889,32.25957447,53.51489362,83.48085106,123.0765957,172.4382979,236.1361702,317.293617,415.0255319,532.412766,676.8,859.2765957,1030.67234,1245.191489,L24
4.103044496,9.496855346,20.08316008,34.85239085,55.37629938,90.09147609,133.4760915,190.049896,257.6382536,349.4719335,456.2453222,587.9334719,734.6943867,913.7588358,1118.149688,1358.282744,L24
4.123762376,9.475770925,19.14347826,32.02597403,51.54112554,81.82251082,122.9177489,175.1428571,240.0735931,321.995671,424.2510823,539.3506494,676.6363636,832.9090909,1017.800866,1227.47619,L24
4.376190476,9.656652361,19.01702128,33.35319149,54.54042553,86.02553191,128.3617021,181.3276596,251.8340426,340.0468085,442.9702128,562.7404255,709.6340426,880.2382979,1071.965957,1297.574468,L24
