@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
0.026407846,1.788737589,16.90052978,12.98125831,10.23958616,8.71605895,7.635835239,6.83653014,6.208186409,5.757843479,5.373089989,4.949690652,4.653143204,4.369835058,4.146381473,3.914958474,NAT
0.026393439,0.716896645,17.05355825,12.9970634,10.37504905,8.806399757,7.682581674,6.893219245,6.285470172,5.796577345,5.397706416,4.982177892,4.682796856,4.393630622,4.157272509,3.951925876,NAT
0.049267368,2.15643631,5.695961008,14.87483709,9.976433915,8.44255611,7.514413965,6.739114713,6.190486284,5.65744389,5.303054863,4.939563591,4.625872818,4.332743142,4.089875312,3.900511222,NAT
0.027481558,3.487451303,16.08902194,13.15611894,10.38148134,8.864926134,7.592901853,6.84071989,6.207276986,5.745242503,5.418307074,5.063601214,4.678631251,4.410221534,4.154582436,3.960907293,NAT
0.025246042,0.183544991,18.35693483,13.05413859,10.26748728,8.861548996,7.926471732,7.072594575,6.410171021,5.852927903,5.446211544,5.047089214,4.726910568,4.463842766,4.216554364,4.010597407,L4
0.088994987,6.324578497,19.67110116,11.62315036,9.625741562,8.39769292,7.397136038,6.655199454,6.087271281,5.606773497,5.1740766,4.840390954,4.533174224,4.288248665,4.064382316,3.861268326,L4
0.075203553,3.187824203,15.23094283,11.73305957,9.977743644,8.613669373,7.529847549,6.731565364,6.164926909,5.688379675,5.283888697,4.925227004,4.633459766,4.348411231,4.121824812,3.930472399,L4
0.167954078,22.08623737,15.35722099,12.21071561,9.930107527,8.668974787,7.682072673,6.875750834,6.295680386,5.797840193,5.349721913,4.985150167,4.683972933,4.436827957,4.18908046,3.989145347,L4
0.119104174,12.0820527,13.98162485,11.6906138,9.605153563,8.413328494,7.491666289,6.773179694,6.188132287,5.706119857,5.30284444,4.942984167,4.626121671,4.360304859,4.144744363,3.934255773,L24
0.16338468,9.053617673,15.09202183,11.98599272,9.905552668,8.479946292,7.513478863,6.7370149,6.165116078,5.658316008,5.25773562,4.933012821,4.614163202,4.360524948,4.123284823,3.917221067,L24
0.0704125,6.40173683,6.717523918,12.71056709,10.45820774,8.876365139,7.681372135,6.900817909,6.27509367,5.781033139,5.358049037,5.018856054,4.70370266,4.426082955,4.200289226,3.981153337,L24
0.248528242,6.660934976,17.08557819,11.92985528,10.20201424,8.655727442,7.666869301,6.89847117,6.28721136,5.741042508,5.344844168,5.013101665,4.688463458,4.40917298,4.184022139,3.975565939,L24
