@RELATION classical
@ATTRIBUTE f1 REAL
@ATTRIBUTE f2 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE f6 REAL
@ATTRIBUTE f7 REAL
@ATTRIBUTE f8 REAL
@ATTRIBUTE f9 REAL
@ATTRIBUTE f10 REAL
@ATTRIBUTE f11 REAL
@ATTRIBUTE f12 REAL
@ATTRIBUTE f13 REAL
@ATTRIBUTE f14 REAL
@ATTRIBUTE f15 REAL
@ATTRIBUTE f16 REAL
@ATTRIBUTE class {NAT,L4,L24}
@DATA
0.120056497,0.242150588,0.30731049,0.427848531,0.396070693,0.376915347,0.406592821,0.416187497,0.478404157,0.461930361,0.500038899,0.502130917,0.521018598,0.529498762,0.532407877,0.546722391,NAT
0.275623559,0.254864732,0.255127333,0.35423378,0.392752971,0.344639992,0.395376399,0.414405289,0.459695515,0.437382901,0.466870572,0.468001061,0.523405691,0.523379531,0.534040309,0.531689747,NAT
0.166615337,0.296544003,0.352244121,0.414887957,0.39269446,0.441234406,0.476307806,0.483419031,0.522954467,0.525830584,0.539261543,0.556179517,0.563241682,0.544920351,0.575545065,0.565213775,NAT
0.172984149,0.32314177,0.409495477,0.46309091,0.49631113,0.527988043,0.518679739,0.53602349,0.571106372,0.570103872,0.600078697,0.605996112,0.592495397,0.575021652,0.580347269,0.595814829,NAT
0.211294066,0.201637941,0.264496463,0.33677075,0.31308774,0.369262741,0.354305495,0.386926459,0.378451084,0.380913016,0.445403007,0.4453741,0.438134758,0.45488092,0.441920657,0.43773256,L4
0.289358513,0.282084534,0.317283721,0.394795582,0.42093383,0.472878061,0.46537436,0.475695784,0.483102594,0.495997984,0.521256045,0.538543074,0.573766215,0.55815553,0.538561256,0.534729902,L4
0.179774369,0.311725129,0.317103721,0.264557241,0.400871394,0.392571241,0.404646269,0.41540214,0.436431741,0.449777231,0.465396311,0.496800042,0.498703085,0.495194348,0.522200233,0.513115898,L4
0.184594612,0.302085843,0.412668482,0.391074521,0.450264298,0.409392514,0.46356713,0.510067207,0.521868125,0.502914946,0.52343648,0.529786945,0.513857879,0.49994386,0.501748004,0.486363217,L4
0.219228787,0.258377652,0.28003682,0.400486852,0.426208832,0.413028961,0.417604392,0.458045289,0.484155993,0.466232133,0.490994168,0.51126829,0.525504811,0.531802907,0.532758777,0.542802621,L24
0.165063003,0.335132285,0.433868721,0.455863587,0.496894743,0.556522183,0.590846572,0.579778594,0.578120219,0.607038581,0.626272405,0.638975459,0.627905321,0.628542548,0.637801407,0.637214063,L24
0.338251598,0.275690428,0.471886074,0.471971887,0.481895283,0.505331522,0.563817204,0.571344668,0.565153148,0.578936982,0.570702934,0.558884552,0.56121382,0.567163786,0.581522944,0.597142663,L24
0.231143743,0.350326134,0.491112076,0.500752447,0.524978197,0.535309465,0.561857521,0.582449496,0.576164517,0.565657317,0.564412767,0.54752954,0.552916714,0.57168416,0.574080138,0.578720649,L24
